transaction_id,address_id,matched_address,confidence,match_type,reason
none-withers-street-unit-2a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-north-7th-street-unit-phb-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-465-humboldt-street-none-williamsburg-ny-11211,70FBEDE595D52798C10446D6453724BF13B0B58193E142BA8399C14703FC0DF2D41EA42C26CF12E3EDA88282AE458F42,465 HUMBOLDT ST,84.62,fuzzy,fuzzy match
none-30-bushwick-avenue-unit-1a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-251-253-north-8th-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-30-bushwick-avenue-unit-4d-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-242-south-1st-street-unit-4e-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-manhattan-avenue-unit-4r-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-277-south-2nd-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-764-metropolitan-avenue-unit-2b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-13-conselyea-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-withers-street-unit-2-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-323-south-5th-street-unit-2-brooklyn-ny-11211,A49D70A3E0EC3F9A2280AEDED15CECC4E2DCF7FE2C58EB26BA3C640AE11B3680F087191DAB9C0398DD0B7D9D74421A52,323 S 5TH ST APT 2,1.0,api,api match
rplu-10325230448-174-north-6th-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-skillman-avenue-unit-4f-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-bushwick-avenue-unit-8b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-364-manhattan-avenue-unit-4g-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-323-south-5th-street-unit-1-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-679-lorimer-street-none-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-skillman-avenue-unit-3-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-metropolitan-avenue-unit-5h-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-211-jackson-street-unit-garden-brooklyn-ny-11211,D12075EFE134AB83BCDED90046FD1162A0307B916AF949C19FB56D28F4B433FA920FEA3DC0EBB4C6AB1F66AB19902086,211 JACKSON ST,83.33,fuzzy,fuzzy match
none-30-bushwick-avenue-unit-7a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-76-roebling-street-unit-4b-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-south-5th-street-unit-3-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-30-bayard-street-unit-1a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-north-11th-street-unit-1l-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-manhattan-avenue-unit-2r-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-165-north-10th-street-unit-3a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-171-north-1st-street-unit-3a-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-139-skillman-avenue-unit-9b-brooklyn-ny-11211,9AB3DD31F394EEA0DAAFF7070CF77F2634B46F64DBC8151F1E12BC8B87E5C72FEBB8016DDAC2FB7A7082045484B3A571,139 SKILLMAN AVE APT 9B,1.0,api,api match
none-manhattan-avenue-unit-3r-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
none-171-north-1st-street-unit-3c-brooklyn-ny-11211,,,0.0,unmatched,api returned but no match
